"Reference","Value","Footprint","Datasheet","Qty","DNP"
"A1","Arduino_UNO_R3","Module:Arduino_UNO_R3","https://www.arduino.cc/en/Main/arduinoBoardUno","1",""
"B1,B2,B3,B4","PLATED_HOLE3.2_PAD5.5","Pads:MTG320_550","Undefined","4",""
"C1,C19,C23,C27,C28,C35,C36,C37,C38,C83,C170,C171,C172,C173,C177,C181","CC0805_22UF_16V_10%_X5R","Capacitors SMD:CAPC2012X135N","\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_X5R_TDK_C.pdf","16",""
"C2,C174,C175,C176,C180","CC0805_10UF_25V_10%_X5R","Capacitors SMD:CAPC2012X95N","\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_X5R_MURATA_GRM.pdf","5",""
"C3,C4","CC0402_27PF_50V_5%_C0G","Capacitors SMD:CAPC1005X55N","\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_C0G_KEMET_(Commercial Grade).pdf","2","DNP"
"C5,C7,C11,C17,C62,C151,C152,C223,C224","CC0402_10UF_6.3V_20%_X5R","Capacitors SMD:CAPC1005X70N","\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X5R_TDK_C.pdf","9",""
"C6,C8,C9,C10,C12,C13,C14,C15,C16,C18,C20,C21,C22,C24,C25,C26,C29,C30,C31,C32,C33,C34,C39,C40,C41,C42,C63,C64,C65,C66,C67,C68,C69,C70,C74,C75,C76,C77,C78,C79,C80,C82,C84,C86,C88,C202,C204,C205,C213,C214,C220,C221,C222,C225,C226,C227,C228,C247,C248","CC0402_100NF_50V_10%_X7R","Capacitors SMD:CAPC1005X55N","\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_MURATA_GRM155R71H104KE14D.pdf","59",""
"C61,C73,C81,C85,C87,C103,C104,C105,C106,C107,C108,C117,C118,C123,C131,C132,C133,C141,C142,C156,C161,C162,C167,C168,C218,C219","CC0402_4.7UF_16V_20%_X5R","Capacitors SMD:CAPC1005X55N","\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X5R_YAGEO_4VTO50V.pdf","26",""
"C71,C72","CC0402_27PF_50V_5%_C0G","Capacitors SMD:CAPC1005X55N","\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_C0G_KEMET_(Commercial Grade).pdf","2",""
