Designator;Mid X;Mid Y;Rotation;Layer
C5;62,264285;-94,658;180;Bottom
C8;62,264285;-93,558;180;Bottom
C11;52,764285;-96,858;0;Bottom
C14;52,764285;-93,458;0;Bottom
C15;52,764285;-95,658;0;Bottom
C31;60,664285;-43,458;180;Bottom
C32;54,864285;-43,458;0;Bottom
C33;54,164285;-84,858;0;Bottom
C34;59,964285;-84,858;180;Bottom
C35;61,764285;-46,158;-90;Bottom
C36;54,064285;-46,058;-90;Bottom
C37;53,164285;-82,158;90;Bottom
C38;60,864285;-82,258;90;Bottom
C39;63,264285;-46,858;-90;Bottom
C40;52,564285;-46,658;-90;Bottom
C41;51,664285;-81,358;90;Bottom
C42;62,464285;-81,658;90;Bottom
C61;108,064285;-103,958;-90;Bottom
C62;97,564285;-108,758;180;Bottom
C63;97,564285;-110,358;180;Bottom
C66;107,164285;-118,258;-90;Bottom
C67;105,164285;-118,258;-90;Bottom
C68;102,164285;-118,258;-90;Bottom
C69;110,164285;-118,258;-90;Bottom
C70;25,014285;-99,408;90;Bottom
C71;33,764285;-104,358;90;Bottom
C72;36,614285;-98,458;0;Bottom
C89;97,964285;-79,958;-90;Bottom
C90;99,164285;-81,158;0;Bottom
C91;102,464285;-83,408;0;Bottom
C92;100,764285;-81,158;0;Bottom
C93;95,164285;-85,158;0;Bottom
C94;96,764285;-83,558;0;Bottom
C95;102,364285;-81,158;0;Bottom
C96;101,564285;-85,158;180;Bottom
C97;101,714285;-80,258;0;Bottom
C98;96,364285;-81,558;-90;Bottom
C99;100,364285;-79,958;-90;Bottom
C100;97,564285;-84,358;0;Bottom
C101;97,164285;-85,558;90;Bottom
C102;95,164285;-83,558;0;Bottom
C103;87,064285;-87,658;0;Bottom
C104;107,864285;-84,358;180;Bottom
C105;98,764285;-82,558;-90;Bottom
C106;107,864285;-83,358;180;Bottom
C107;100,864285;-82,858;180;Bottom
C108;98,764285;-79,858;-90;Bottom
C109;86,764285;-84,058;0;Bottom
C110;97,064285;-92,958;90;Bottom
C112;99,564285;-79,958;90;Bottom
C113;102,214285;-79,358;0;Bottom
C114;94,364285;-80,758;-45;Bottom
C115;96,364285;-79,958;-90;Bottom
C116;97,164285;-79,958;90;Bottom
C117;83,264285;-86,558;0;Bottom
C118;83,264285;-85,558;0;Bottom
C119;82,514285;-84,058;0;Bottom
C120;95,164285;-82,758;0;Bottom
C121;107,964285;-82,358;180;Bottom
C122;86,764285;-86,158;0;Bottom
C123;97,964285;-72,858;-90;Bottom
C124;105,064285;-85,358;90;Bottom
C125;91,264285;-77,058;0;Bottom
C126;91,564285;-78,005117;0;Bottom
C127;102,764285;-75,958;-90;Bottom
C128;100,364285;-76,658;-90;Bottom
C129;104,864285;-81,258;180;Bottom
C130;106,564285;-78,358;180;Bottom
C131;91,364285;-73,958;0;Bottom
C132;108,464285;-75,658;180;Bottom
C133;109,264285;-78,358;180;Bottom
C134;93,764285;-75,958;-90;Bottom
C135;97,164285;-77,558;-90;Bottom
C136;96,364285;-75,158;-90;Bottom
C137;93,564285;-81,958;180;Bottom
C138;91,571609;-79,009217;0;Bottom
C139;105,664285;-75,558;180;Bottom
C140;103,564285;-79,058;90;Bottom
C141;107,014285;-90,358;-90;Bottom
C142;107,864285;-85,358;0;Bottom
C143;101,164285;-88,958;90;Bottom
C144;105,164285;-89,958;180;Bottom
C145;106,764285;-86,358;180;Bottom
C146;103,564285;-82,758;90;Bottom
C147;102,664285;-84,758;-90;Bottom
C148;100,364285;-85,558;-90;Bottom
C149;105,064285;-87,458;90;Bottom
C150;95,164285;-81,958;180;Bottom
C151;100,264285;-93,258;90;Bottom
C152;101,664285;-96,458;90;Bottom
C153;102,664285;-96,358;90;Bottom
C154;99,954285;-81,958;0;Bottom
C155;97,564285;-81,958;0;Bottom
C156;85,864285;-82,558;0;Bottom
C157;93,164285;-86,358;-90;Bottom
C158;91,964285;-87,158;-45;Bottom
C159;94,764285;-86,358;-90;Bottom
C160;95,564285;-86,358;-90;Bottom
C161;89,864285;-86,658;0;Bottom
C162;89,864285;-87,858;0;Bottom
C163;94,964285;-89,758;-90;Bottom
C164;93,364285;-89,708;-90;Bottom
C165;95,364285;-87,958;-90;Bottom
C166;96,664285;-89,758;90;Bottom
C167;89,864285;-89,858;0;Bottom
C168;89,864285;-88,858;0;Bottom
C169;91,564285;-89,558;90;Bottom
C178;58,664285;-116,9955;-90;Bottom
C179;44,064285;-116,958;-90;Bottom
C186;76,714285;-100,758;0;Bottom
