Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_UNO_R3,1,Arduino_UNO_R3,
B1,MountingHole_3.2mm_M3_Pad_TopOnly,1,PLATED_HOLE3.2_PAD5.5,
"B2, B3, B4",MountingHole_3.2mm_M3_Pad_TopOnly,3,MountingHole:MountingHole_3.2mm_M3_Pad_TopOnly,
"C1, C170, C171, C172, C173, C177, C181, C19, C23, C27, C28, C83",CAPC2012X135N,12,CC0805_22UF_16V_10%_X5R,C296720
"C10, C12, C13, C14, C15, C16, C18, C20, C202, C204, C205, C21, C213, C214, C22, C220, C222, C225, C226, C227, C228, C24, C247, C248, C25, C26, C29, C30, C33, C34, C35, C36, C37, C6, C63, C64, C65, C66, C67, C68, C69, C70, C74, C75, C76, C77, C78, C79, C8, C80, C82, C84, C86, C88, C9",CAPC1005X55N,55,CC0402_100NF_50V_10%_X7R,C110251
"C100, C101, C102, C112, C121, C128, C129, C130, C138, C139, C140, C147, C148, C149, C150, C229, C230, C231, C232, C233, C234, C235, C236, C237, C238, C239, C240, C241, C242, C243, C244, C97, C98, C99",CAPC0603X33N,34,CC0201_47NF_6.3V_10%_X5R,C565524
"C103, C104, C105, C106, C107, C108, C117, C118, C123, C131, C132, C133, C141, C142, C156, C161, C162, C167, C168, C218, C219, C31, C32, C61, C73, C81, C85, C87",CAPC1005X55N,28,CC0402_4.7UF_16V_20%_X5R,C318563
"C109, C110, C111, C119, C122",CAPC2012X145N,5,CC0805_100UF_6.3V_20%_X5R,C141660
"C11, C151, C152, C17, C223, C224, C5, C62, C7",CAPC1005X70N,9,CC0402_10UF_6.3V_20%_X5R,C76991
"C113, C114, C115, C116, C120, C124, C125, C126, C127, C134, C135, C136, C137, C143, C144, C145, C146, C153, C155, C245, C246, C89, C90, C91, C92, C93, C94, C95, C96",CAPC0603X33N,29,CC0201_470NF_4V_20%_X5R,C85926
"C154, C157, C158, C159, C160, C163, C164, C165, C166, C169, C183, C185, C186, C188, C189, C190, C191, C194, C196, C197, C198, C206, C208, C209, C210, C211, C212, C215, C249, C250",CAPC0603X33N,30,CC0201_100NF_6.3V_10%_X5R,C190187
"C174, C175, C176, C180, C2",CAPC2012X95N,5,CC0805_10UF_25V_10%_X5R,C15850
"C178, C179",0402,2,CC0402_22PF_50V_5%_C0G,C1555
"C182, C184, C207, C216, C217",0402,5,CC0402_1UF_16V_10%_X5R,C29266
"C187, C192, C195, C199, C200, C201, C203",CAPC1709X100N,7,CC0603_22UF_6.3V_20%_X5R,C59461
"C71, C72",CAPC1005X55N,2,CC0402_33PF_50V_5%_C0G,C70465
D1,SOT190P230X110-4N,1,PRTR5V0U2X,C5158049
D2,SODFL2513X100N,1,MM3Z12VB,C891576
D3,D_SOD-323,1,BAS316,C7502720
"J1, J12",TYCO_1888247-1,2,TYCO_1888247-1,C305914
"J14, J15, J6, J7",PinSocket_2x06_P2.54mm_Horizontal_PMOD,4,Conn_02x06_Top_Bottom,C5333437
J16,CONN-TH_2604-1104,1,Conn_01x04,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C3020560
J3,BEL_0826-1G1T-43-F,1,BELFUSE_0826-1G1T-43-F,C6062830
J4,CONN-SMD_YXT-BB10-40S-02,1,Conn_02x20_Odd_Even,
J8,TE_2180739-1,1,2180739-1, C19267508
L1,IND_BOURNS_SRP3212,1,IND_2.2UH_20%_BOURNS_SRP3212,C48945746
"L10, L12, L13",INDC1005X55N,3,IND0402_MURATA_BLM15PX121SN1D,C88970
L11,INDC1608X95N,1,IND0603_MURATA_BLM18AG601SN1,C19330
L14,IND_WURTH_WE-PMCI_0806LR,1,IND_2.2UH_20%_WURTH_WE-PMCI_74479276222C,C5832344
L15,INDC2013X145N,1,IND0805_TDK_MLZ2012M150WT000,C383402
L16,INDC1005X55N,1,IND0402_MURATA_BLM15HB221SN1,C88966
"L17, L18, L20",INDC1608X65N,3,IND0603_MURATA_BLM18SG121TN1D,C113030
"L2, L3, L4, L5",1008,4,4.7 uH,C82314
LD1,LED_OSRAM_LS Q976,1,LED_OSRAM_LS_Q976-NR-1,C2899996
"LD2, LD3, LD4, LD5",LED_KINGBRIGHT_KPH-1608CGCK,4,LED_KINGBRIGHT_KPH-1608CGCK,C598257
N1,TWIST,1,Housing,
"Q1, Q2, Q3",SOT95P240X110-3N,3,BSS138LT1G,C82045
Q4,Diodes_PowerDI3333-8,1,DMP3013SFV,C264098  
R1,RESC1005X40N,1,R0402_6K65_0.1%_0.060W_10PPM,C2692937
"R10, R11, R12, R122, R13, R139, R14, R140, R141, R15, R16, R17, R18, R182, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R37, R38, R39, R73, R79, R85, R86, R87",RESC1005X40N,36,R0402_4K7_1%_0.0625W_100PPM,C25900
"R100, R101, R142, R143, R144, R145, R146, R147, R162, R92, R93, R95, R96, R97",RESC1005X40N,14,R0402_30K_1%_0.0625W_100PPM,C25776
"R102, R103, R120, R121, R72, R99",RESC1005X40N,6,R0402_240R_1%_0.0625W_100PPM,C114755
"R104, R105, R110, R160",RESC1005X40N,4,R0402_0R_JUMPER,C106231
"R113, R116",RESC1005X40N,2,R0402_510R_0.1%_0.0625W_10PPM,C351694
"R114, R115, R117",RESC1005X40N,3,R0402_100R_1%_0.1W_100PPM,C413063
"R118, R119",RESC1005X40N,2,R0402_200R_1%_0.0625W_100PPM,C114764
"R123, R129, R133, R137",RESC1005X40N,4,R0402_140R_1%_0.0625W_100PPM,C25081
"R124, R130, R134, R138",RESC1005X40N,4,R0402_845R_0.1%_0.063W_25PPM,C1509615
"R125, R127, R131, R135",RESC1005X40N,4,R0402_2K32_1%_0.0625W_100PPM,C82297
"R126, R128, R132, R136, R149, R150, R151, R84, R88, R89, R90",RESC1005X40N,11,R0402_1K_1%_0.0625W_100PPM,C11702
"R148, R155, R156, R157, R158, R161, R163, R176, R2, R35, R75, R76, R77, R81",RESC1005X40N,14,R0402_10K_1%_0.0625W_100PPM,C60490
"R152, R169, R177, R178, R179, R180, R181, R78",RESC1005X40N,8,R0402_12K_1%_0.0625W_100PPM,C2909316
"R153, R159, R167, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71",RESC1005X40N,26,R0402_40R2_1%_0.0625W_100PPM,C25111
