Designator,Mid X,Mid Y,Rotation,Layer
A1,95.264285,-78.023,90.0,top
C1,91.914285,-100.958,90.0,top
C10,54.264285,-90.158,270.0,top
C100,97.564285,-84.358,180.0,bottom
C101,97.164285,-85.558,90.0,bottom
C102,95.164285,-83.558,180.0,bottom
C103,87.064285,-87.658,180.0,bottom
C104,107.864285,-84.358,0.0,bottom
C105,98.764285,-82.558,270.0,bottom
C106,107.864285,-83.358,0.0,bottom
C107,100.864285,-82.858,0.0,bottom
C108,98.764285,-79.858,270.0,bottom
C109,86.764285,-84.058,180.0,bottom
C11,52.764285,-96.858,180.0,bottom
C110,97.064285,-92.958,90.0,bottom
C111,86.864285,-83.858,0.0,top
C112,99.564285,-79.958,90.0,bottom
C113,102.214285,-79.358,180.0,bottom
C114,94.364285,-80.758,225.0,bottom
C115,96.364285,-79.958,270.0,bottom
C116,97.164285,-79.958,90.0,bottom
C117,83.264285,-86.558,180.0,bottom
C118,83.264285,-85.558,180.0,bottom
C119,82.514285,-84.058,180.0,bottom
C12,61.064285,-97.358,90.0,top
C120,95.164285,-82.758,180.0,bottom
C121,107.964285,-82.358,0.0,bottom
C122,86.764285,-86.158,180.0,bottom
C123,97.964285,-72.858,270.0,bottom
C124,105.064285,-85.358,90.0,bottom
C125,91.264285,-77.058,180.0,bottom
C126,91.564285,-78.005117,180.0,bottom
C127,102.764285,-75.958,270.0,bottom
C128,100.364285,-76.658,270.0,bottom
C129,104.864285,-81.258,0.0,bottom
C13,56.264285,-90.158,270.0,top
C130,106.564285,-78.358,0.0,bottom
C131,91.364285,-73.958,180.0,bottom
C132,108.464285,-75.658,0.0,bottom
C133,109.264285,-78.358,0.0,bottom
C134,93.764285,-75.958,270.0,bottom
C135,97.164285,-77.558,270.0,bottom
C136,96.364285,-75.158,270.0,bottom
C137,93.564285,-81.958,0.0,bottom
C138,91.571609,-79.009217,180.0,bottom
C139,105.664285,-75.558,0.0,bottom
C14,52.764285,-93.458,180.0,bottom
C140,103.564285,-79.058,90.0,bottom
C141,107.014285,-90.358,270.0,bottom
C142,107.864285,-85.358,180.0,bottom
C143,101.164285,-88.958,90.0,bottom
C144,105.164285,-89.958,0.0,bottom
C145,106.764285,-86.358,0.0,bottom
C146,103.564285,-82.758,90.0,bottom
C147,102.664285,-84.758,270.0,bottom
C148,100.364285,-85.558,270.0,bottom
C149,105.064285,-87.458,90.0,bottom
C15,52.764285,-95.658,180.0,bottom
C150,95.164285,-81.958,0.0,bottom
C151,100.264285,-93.258,90.0,bottom
C152,101.664285,-96.458,90.0,bottom
C153,102.664285,-96.358,90.0,bottom
